"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"1";"1";"";"93";"3189"
"3";"3";"";"191";"6774"
"4";"4";"";"248";"9578"
"6";"5";"";"282";"20457"
"9";"6";"";"469";"26661"
"10";"9";"";"530";"27369"
"12";"10";"";"550";""
"13";"12";"";"605";""
"14";"13";"";"619";""
"18";"14";"";"646";""
"23";"18";"";"695";""
"25";"19";"";"890";""
"27";"23";"";"900";""
"29";"27";"";"931";""
"31";"29";"";"976";""
"35";"31";"";"1165";""
"36";"33";"";"1187";""
"41";"36";"";"1299";""
"43";"41";"";"1365";""
"44";"43";"";"1405";""
"45";"44";"";"1444";""
"49";"45";"";"1581";""
"50";"50";"";"1633";""
"52";"52";"";"1647";""
"54";"53";"";"1684";""
"56";"54";"";"1766";""
"57";"56";"";"1945";""
"58";"57";"";"2076";""
"59";"58";"";"2146";""
"61";"59";"";"2227";""
"62";"61";"";"2276";""
"65";"62";"";"2283";""
"66";"65";"";"2349";""
"67";"66";"";"2418";""
"70";"67";"";"2531";""
"71";"70";"";"2683";""
"72";"71";"";"2870";""
"73";"72";"";"2902";""
"74";"74";"";"2953";""
"76";"76";"";"2981";""
"77";"77";"";"2995";""
"78";"78";"";"3022";""
"79";"80";"";"3189";""
"80";"81";"";"3248";""
"81";"84";"";"3282";""
"82";"86";"";"3410";""
"84";"87";"";"3454";""
"86";"89";"";"3510";""
"87";"92";"";"3631";""
"89";"93";"";"3660";""
"91";"96";"";"3689";""
"92";"97";"";"3740";""
"96";"100";"";"3791";""
"97";"102";"";"3950";""
"100";"105";"";"3974";""
"102";"106";"";"4054";""
"105";"108";"";"4073";""
"108";"112";"";"4118";""
"111";"115";"";"4124";""
"115";"116";"";"4270";""
"118";"118";"";"4329";""
"119";"119";"";"4347";""
"122";"120";"";"4392";""
"124";"122";"";"4655";""
"125";"124";"";"4683";""
"126";"125";"";"4733";""
"127";"127";"";"4826";""
"133";"132";"";"4830";""
"134";"133";"";"4887";""
"135";"134";"";"4914";""
"136";"135";"";"5066";""
"137";"137";"";"5102";""
"140";"140";"";"5217";""
"141";"141";"";"5248";""
"142";"142";"";"5303";""
"144";"147";"";"5335";""
"147";"148";"";"5338";""
"148";"149";"";"5374";""
"149";"153";"";"5379";""
"152";"155";"";"5388";""
"153";"156";"";"5467";""
"156";"157";"";"5487";""
"157";"158";"";"5533";""
"158";"160";"";"5549";""
"161";"161";"";"5656";""
"163";"167";"";"5701";""
"167";"168";"";"5750";""
"168";"169";"";"5779";""
"169";"171";"";"5934";""
"171";"172";"";"5945";""
"172";"175";"";"5990";""
"177";"177";"";"6055";""
"182";"182";"";"6142";""
"184";"186";"";"6185";""
"185";"187";"";"6196";""
"186";"188";"";"6280";""
"187";"191";"";"6305";""
"188";"192";"";"6322";""
"191";"194";"";"6324";""
"192";"196";"";"6352";""
"196";"197";"";"6389";""
"197";"202";"";"6405";""
"204";"204";"";"6424";""
"206";"206";"";"6446";""
"209";"207";"";"6529";""
"210";"209";"";"6547";""
"211";"210";"";"6580";""
"214";"211";"";"6674";""
"215";"213";"";"6723";""
"216";"214";"";"6747";""
"217";"215";"";"6774";""
"218";"216";"";"6824";""
"219";"218";"";"6991";""
"220";"220";"";"7100";""
"221";"221";"";"7103";""
"222";"222";"";"7293";""
"223";"223";"";"7310";""
"226";"226";"";"7318";""
"227";"230";"";"7320";""
"230";"233";"";"7340";""
"233";"236";"";"7506";""
"236";"238";"";"7574";""
"238";"239";"";"7632";""
"239";"240";"";"7655";""
"240";"248";"";"7706";""
"246";"253";"";"7764";""
"248";"255";"";"7830";""
