"";"Grp"
"WT_Ctrl2";"WT_CTRL"
"WT_CARBO5";"WT_CARBO"
"KO_Ctrl3";"KO_CTRL"
"KO_CARBO1";"KO_CARBO"
"KO_CARBO4";"KO_CARBO"
"KO_Ctrl6";"KO_CTRL"
"WT_CARBO2";"WT_CARBO"
"WT_Ctrl5";"WT_CTRL"
"WT_CARBO1";"WT_CARBO"
"WT_Ctrl6";"WT_CTRL"
"KO_CARBO5";"KO_CARBO"
"KO_Ctrl1";"KO_CTRL"
"KO_Ctrl4";"KO_CTRL"
"KO_CARBO2";"KO_CARBO"
"WT_Ctrl3";"WT_CTRL"
"WT_CARBO4";"WT_CARBO"
"KO_CARBO3";"KO_CARBO"
"KO_Ctrl5";"KO_CTRL"
"WT_CARBO6";"WT_CARBO"
"WT_Ctrl4";"WT_CTRL"
"WT_Ctrl1";"WT_CTRL"
"WT_CARBO3";"WT_CARBO"
"KO_Ctrl2";"KO_CTRL"
"KO_CARBO6";"KO_CARBO"
