"LWT_CARBO.LWT_CTRL";"LKO_CARBO.LKO_CTRL";"LKO_CTRL.LWT_CTRL";"X.LWT_CARBO.LWT_CTRL...LKO_CARBO.LKO_CTRL."
"Dbil5";"Dbil5";"Arhgap26";"Apol10b"
"chr17:3213918-3257944_F";"chr17:3213918-3257944_F";"Apon";"Retnlg"
"chr8:72663591-72671154_F";"chr8:72663591-72671154_F";"St6gal1";"Saa4"
"chr3:4797557-4798821_F";"Cops3";"Stat3";"Elovl5"
"Ccdc71";"chr3:4797557-4798821_F";"Snx10";"A_55_P1986630"
"Tusc2";"Ccdc71";"Sox9";"Scd3"
"Tm6sf2";"Tusc2";"Slc50a1";""
"Tnf";"Tm6sf2";"Ces1e";""
"Pafah1b1";"Tnf";"chr5:144517700-144526071_F";""
"chr6:86425510-86450160_F";"Pafah1b1";"Trat1";""
"Bnip3l";"chr6:86425510-86450160_F";"Serpina10";""
"Notch2";"2810428J06Rik";"Cfhr2";""
"chr5:96591892-96606467_R";"Bnip3l";"Treh";""
"Cyp39a1";"chr5:96591892-96606467_R";"Dab1";""
"Gfod2";"Cyp39a1";"Ctf1";""
"C79015";"Gfod2";"Fam82a1";""
"chr12:72103832-72116875_F";"Wdr34";"Capn8";""
"Ckap5";"chr12:72103832-72116875_F";"Trafd1";""
"Cd34";"Ckap5";"Zfp105";""
"Blvrb";"Cd34";"Olfr97";""
"Klra22";"Blvrb";"Bmper";""
"Eno1";"Klra22";"Gm5623";""
"Afap1l2";"Afap1l2";"Rad52";""
"NAP114395-1";"NAP114395-1";"Eppk1";""
"Atp11c";"A_55_P2011091";"Mif";""
"Tmem149";"Atp11c";"Litaf";""
"Cebpg";"Tmem149";"Mmrn1";""
"Gm7904";"Cebpg";"Slc13a3";""
"Ak2";"Gm7904";"Gsta2";""
"chr7:91300649-91302183_F";"Ak2";"Ddt";""
"chr13:74743335-74754728_R";"chr7:91300649-91302183_F";"Cpn2";""
"Col14a1";"chr13:74743335-74754728_R";"Rab9";""
"Mrpl28";"Col14a1";"Sebox";""
"A_55_P2051429";"Mrpl28";"A_55_P2096165";""
"ENSMUST00000103743";"A_55_P2051429";"B4galt1";""
"A430104N18Rik";"ENSMUST00000103743";"4931406C07Rik";""
"Gart";"A430104N18Rik";"9430008C03Rik";""
"4930417G10Rik";"Gart";"Lbp";""
"Itpr3";"Itpr3";"Mtus1";""
"Galnt7";"Galnt7";"Khk";""
"Elf2";"Elf2";"Orm3";""
"Eif4ebp1";"Eif4ebp1";"chr11:18367482-18393258_R";""
"Sh2b3";"NAP114945-1";"Apol10b";""
"NAP114945-1";"AI195470";"Slc39a10";""
"AI195470";"Ppih";"Tab2";""
"En2";"chr2:128217275-128217972_R";"Vtn";""
"Ppih";"Nck2";"Gstt1";""
"chr2:128217275-128217972_R";"Thoc7";"Tlr2";""
"Nck2";"Gm757";"Tm7sf2";""
"Thoc7";"Arhgap26";"Lrig1";""
"H28";"Csf1";"Gpm6b";""
"Gm757";"Upp2";"Tnfrsf1a";""
"Csf1";"ENSMUST00000105073";"Ccdc30";""
"Upp2";"A_55_P2138071";"Hpx";""
"ENSMUST00000105073";"Cp";"chr5:112297381-112328281_F";""
"A_55_P2138071";"chr8:119732348-119749198_R";"Slc17a8";""
"Cp";"Col4a1";"Orm1";""
"Col4a1";"ENSMUST00000071374";"Gvin1";""
"Fcgr2b";"Gm10034";"Itih3";""
"Gm10034";"Sec24a";"chr12:89519675-89533975_F";""
"chr2:35828611-35838083_F";"chr2:35828611-35838083_F";"chr11:31648453-31648952_R";""
"2310001H17Rik";"2310001H17Rik";"Cep55";""
"Atp12a";"Exoc8";"Mt1";""
"Anxa1";"Atp12a";"Habp2";""
"Gcn1l1";"Anxa1";"chr14:46374363-46612845_R";""
"Krtap1-4";"Gcn1l1";"Sema6b";""
"Stx3";"Stx3";"Ugp2";""
"Amz1";"Rexo2";"A_55_P2090394";""
"Uchl5";"Amz1";"4930404H24Rik";""
"Batf";"Uchl5";"Spc25";""
"Mthfd2l";"Batf";"chr9:37063322-37063718_F";""
"Akap17b";"Akap17b";"Cyp21a1";""
"Cdca4";"Cdca4";"Scara5";""
"Zfp354a";"Zfp354a";"Defb34";""
"Nupr1";"Nupr1";"chr2:128217275-128217972_R";""
"Fbxo39";"AB124611";"Acot1";""
"AB124611";"Slc7a8";"Wdr37";""
"Slc7a8";"chr12:81217572-81233910_R";"Acot4";""
"chr12:81217572-81233910_R";"Trfr2";"Ikzf3";""
"NAP095730-001";"A_55_P2027412";"Itih1";""
"Trfr2";"2410002F23Rik";"Rnase4";""
"2410002F23Rik";"2210406H18Rik";"Zfp169";""
"2210406H18Rik";"Armcx5";"chr12:52880692-52933444_F";""
"Armcx5";"Gabbr2";"Atp5g2";""
"Fes";"Fes";"chr6:12062275-12075800_R";""
"Mtmr3";"Rbm33";"chr3:36280098-36347798_R";""
"Rbm33";"NAP111310-1";"chr8:72663625-72673010_R";""
"NAP111310-1";"Gpr12";"A_55_P2128224";""
"Gpr12";"Skil";"Mal";""
"Skil";"ENSMUST00000099266";"C030048H21Rik";""
"ENSMUST00000099266";"Prkag1";"C9";""
"Btla";"Btla";"Gm10639";""
"Cyp3a59";"Cyp3a59";"chr8:119732348-119749198_F";""
"chr17:6265275-6362150_R";"Kctd14";"Pdk1";""
"Metap1d";"Tpt1";"Cyb561";""
"Kctd14";"Prss37";"Wif1";""
"Tpt1";"Apon";"Il17ra";""
"Prss37";"Hk3";"Crcp";""
"Apon";"chr12:110738120-110769295_F";"Gstt2";""
"Hk3";"Mrpl53";"Gnat1";""
"Mrpl53";"A_55_P2246700";"Gm8883";""
"A_55_P2246700";"Lcor";"Fabp2";""
"Serpina6";"Serpina6";"Zfp113";""
"Csnk1a1";"Csnk1a1";"A_55_P2130905";""
"chr18:36449530-36456800_F";"Sec14l2";"chr6:145647711-145756861_F";""
"Pa2g4";"chr18:36449530-36456800_F";"chr17:8718223-8949898_F";""
"Zscan21";"Pa2g4";"Rdh16";""
"A_55_P2125823";"Zscan21";"Ak2";""
"Ube2z";"G2e3";"Mgst3";""
"Igtp";"A_55_P2125823";"Habp2";""
"Flt4";"Ube2z";"Retnlg";""
"Map6d1";"Igtp";"St6galnac6";""
"chr12:53669892-53710742_F";"Map6d1";"AI428936";""
"Pdlim4";"Pdlim4";"2410075B13Rik";""
"Rab5a";"Rab5a";"Hpgd";""
"Arhgap21";"Arhgap21";"F10";""
