"";"ProbeName";"GeneName";"logFC_LWT_MCD-LWT_CTRL";"logFC_LKO_MCD-LKO_CTRL";"logFC_LKO_CTRL-LWT_CTRL"
"1";"A_51_P100625";"Apon";"-1.0729";"-0.3683";"-0.6441"
"2";"A_55_P2098995";"Cfhr2";"-1.3816";"-1.0258";"-0.4098"
"3";"A_55_P2083307";"Capn8";"-2.9582";"-2.0182";"-0.9580"
"4";"A_55_P1981959";"Trafd1";"-0.6376";"-0.2383";"-0.3899"
"5";"A_51_P105017";"Rad52";"-0.3117";"-0.1362";"-0.2969"
"6";"A_55_P2145149";"Cpn2";"-1.1538";"-0.7927";"-0.4046"
"7";"A_55_P2096165";"A_55_P2096165";"-1.0736";"-0.7053";"-0.3563"
"8";"A_52_P547187";"Tab2";"-0.6994";"-0.2422";"-0.4115"
"9";"A_51_P109840";"Vtn";"-0.6364";"-0.3140";"-0.4012"
"10";"A_55_P2109997";"Lrig1";"-1.3233";"-0.5472";"-0.8306"
"11";"A_30_P01021678";"chr11:31648453-31648952_R";"-0.5871";"-0.2293";"-0.3688"
"12";"A_55_P2112637";"Habp2";"-1.0107";"-0.4555";"-0.5302"
"13";"A_30_P01032819";"chr14:46374363-46612845_R";"-1.2666";"-0.8526";"-0.3577"
"14";"A_55_P1973854";"Sema6b";"-0.8823";"-0.4033";"-0.6436"
"15";"A_55_P2140107";"Cyp21a1";"-3.4632";"-2.1501";"-1.0897"
"16";"A_55_P1982400";"Scara5";"-1.3817";"-0.4592";"-0.8480"
"17";"A_55_P2113598";"Ikzf3";"-0.9862";"-0.5949";"-0.3490"
"18";"A_55_P1996683";"Itih1";"-0.7486";"-0.4728";"-0.4332"
"19";"A_51_P255295";"C9";"-2.7422";"-2.0439";"-0.8326"
"20";"A_30_P01017507";"chr8:119732348-119749198_F";"-1.6196";"-0.6454";"-0.9667"
"21";"A_51_P484526";"Wif1";"-1.6522";"-1.0980";"-0.9723"
"22";"A_55_P2130905";"A_55_P2130905";"-1.0474";"-0.2965";"-0.5783"
"23";"A_30_P01021222";"chr17:8718223-8949898_F";"-1.5052";"-0.4789";"-1.1891"
"24";"A_55_P2053266";"St6galnac6";"-1.2464";"-0.7396";"-0.3522"
